,ï»¿S_No,State,st_case,PERMVIT,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD,LGT_COND,WEATHER,DRUNK_DR,fatals,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,Cname,Sname,lighting,climate,drunk
4,5,1,10005,2,45,2050,7,1,2015,4,7,9,31.31933056,-85.5151,1,1,0,1,99,99,7,16,88,88,MIDLAND CITY,Alabama,Daylight,Clear,FALSE
6,7,1,10007,2,89,1730,8,1,2015,5,18,33,34.77304444,-86.52766389,3,1,0,1,99,99,18,38,99,99,HUNTSVILLE,Alabama,Dark,Clear,FALSE
7,8,1,10008,1,73,350,3,1,2015,7,21,30,33.46248889,-86.87090556,2,2,0,1,99,99,21,48,99,99,BIRMINGHAM,Alabama,Dark,Rain,FALSE
11,12,1,10012,6,95,1500,9,1,2015,6,6,35,34.36911667,-86.28887778,1,1,0,1,99,99,6,41,99,99,GUNTERSVILLE,Alabama,Daylight,Clear,FALSE
15,16,1,10016,2,81,2340,13,1,2015,3,17,20,32.61823889,-85.37138333,3,10,0,1,99,99,17,30,99,99,C,Alabama,Dark,Unknown,FALSE
19,20,1,10020,3,121,2910,15,1,2015,5,17,10,33.46581111,-86.04999167,2,2,0,1,99,99,17,18,99,99,TALLADEGA,Alabama,Dark,Rain,FALSE
25,26,1,10026,1,73,2052,13,1,2015,3,13,33,33.46460556,-86.941675,1,10,0,1,99,99,13,42,88,88,MIDFIELD,Alabama,Daylight,Unknown,FALSE
26,27,1,10027,3,3,2890,17,1,2015,7,14,42,30.47271111,-87.66633056,1,1,0,1,99,99,14,47,99,99,SUMMERDALE,Alabama,Daylight,Clear,FALSE
27,28,1,10028,1,1,2540,10,1,2015,7,0,31,32.43066389,-86.51791667,2,1,1,1,99,99,0,40,88,88,PRATTVILLE,Alabama,Dark,Clear,TRUE
32,33,1,10033,2,123,60,23,1,2015,6,21,22,32.87644722,-85.87761667,3,2,1,2,99,99,21,28,88,88,ALEXANDER CITY,Alabama,Dark,Rain,TRUE
33,34,1,10034,10,3,860,15,1,2015,5,14,27,30.65515556,-87.90710278,1,10,1,1,99,99,14,36,99,99,DAPHNE,Alabama,Daylight,Unknown,TRUE
37,38,1,10038,1,97,2100,27,1,2015,3,16,50,30.612125,-88.07764444,1,1,0,1,99,99,16,55,99,99,MOBILE,Alabama,Daylight,Clear,FALSE
39,40,1,10040,1,73,350,20,1,2015,3,15,57,33.43090833,-86.71233333,1,1,0,1,99,99,16,1,99,99,BIRMINGHAM,Alabama,Daylight,Clear,FALSE
43,44,1,10044,2,73,1716,31,1,2015,7,3,10,33.39817778,-86.77766944,3,1,0,1,99,99,3,14,99,99,HOOVER,Alabama,Dark,Clear,FALSE
44,45,1,10045,1,97,2100,31,1,2015,7,8,19,30.62482222,-88.12466111,1,1,0,1,8,28,8,36,8,47,MOBILE,Alabama,Daylight,Clear,FALSE
45,46,1,10046,1,17,1830,8,2,2015,1,2,15,32.84681944,-85.18687778,6,1,0,1,99,99,2,24,99,99,LANETT,Alabama,Dark,Clear,FALSE
46,47,1,10047,2,97,2100,22,1,2015,5,0,7,30.66823611,-88.05437222,2,1,1,1,99,99,0,11,99,99,MOBILE,Alabama,Dark,Clear,TRUE
48,49,1,10049,2,73,350,29,1,2015,5,1,15,33.529925,-86.88088611,6,1,0,1,99,99,1,32,99,99,BIRMINGHAM,Alabama,Dark,Clear,FALSE
50,51,1,10051,5,109,3040,1,2,2015,1,14,38,31.82342222,-85.96047222,1,2,0,1,99,99,14,49,99,99,TROY,Alabama,Daylight,Rain,FALSE
56,57,1,10057,3,49,2564,4,2,2015,4,17,52,34.45239167,-85.78168333,2,1,0,1,99,99,18,0,88,88,RAINSVILLE,Alabama,Dark,Clear,FALSE
57,58,1,10058,3,13,1460,8,2,2015,1,14,40,31.82686111,-86.6481,1,1,0,1,14,43,14,46,14,53,GREENVILLE,Alabama,Daylight,Clear,FALSE
59,60,1,10060,7,49,2564,10,2,2015,3,17,39,34.52244722,-85.82724444,2,10,0,1,17,56,18,25,99,99,RAINSVILLE,Alabama,Dark,Unknown,FALSE
62,63,1,10063,3,45,845,1,2,2015,1,3,55,31.28759444,-85.70040556,2,1,1,1,99,99,4,33,99,99,DALEVILLE,Alabama,Dark,Clear,TRUE
63,64,1,10064,1,97,2100,4,2,2015,4,0,19,30.70100278,-88.12357222,2,1,0,1,99,99,0,26,88,88,MOBILE,Alabama,Dark,Clear,FALSE
