S_No,State,ST_CASE,PERMVIT,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD,LGT_COND,WEATHER,DRUNK_DR,FATALS,Cname,Sname
5,1,10005,2,45,2050,7,1,2015,4,7,9,31.31933056,-85.5151,1,1,0,1,MIDLAND CITY,Alabama
7,1,10007,2,89,1730,8,1,2015,5,18,33,34.77304444,-86.52766389,3,1,0,1,HUNTSVILLE,Alabama
8,1,10008,1,73,350,3,1,2015,7,21,30,33.46248889,-86.87090556,2,2,0,1,BIRMINGHAM,Alabama
12,1,10012,6,95,1500,9,1,2015,6,6,35,34.36911667,-86.28887778,1,1,0,1,GUNTERSVILLE,Alabama
16,1,10016,2,81,2340,13,1,2015,3,17,20,32.61823889,-85.37138333,3,10,0,1,OPELIKA,Alabama
20,1,10020,3,121,2910,15,1,2015,5,17,10,33.46581111,-86.04999167,2,2,0,1,TALLADEGA,Alabama
26,1,10026,1,73,2052,13,1,2015,3,13,33,33.46460556,-86.941675,1,10,0,1,MIDFIELD,Alabama
27,1,10027,3,3,2890,17,1,2015,7,14,42,30.47271111,-87.66633056,1,1,0,1,SUMMERDALE,Alabama
28,1,10028,1,1,2540,10,1,2015,7,0,31,32.43066389,-86.51791667,2,1,1,1,PRATTVILLE,Alabama
33,1,10033,2,123,60,23,1,2015,6,21,22,32.87644722,-85.87761667,3,2,1,2,ALEXANDER CITY,Alabama
34,1,10034,10,3,860,15,1,2015,5,14,27,30.65515556,-87.90710278,1,10,1,1,DAPHNE,Alabama
38,1,10038,1,97,2100,27,1,2015,3,16,50,30.612125,-88.07764444,1,1,0,1,MOBILE,Alabama
40,1,10040,1,73,350,20,1,2015,3,15,57,33.43090833,-86.71233333,1,1,0,1,BIRMINGHAM,Alabama
44,1,10044,2,73,1716,31,1,2015,7,3,10,33.39817778,-86.77766944,3,1,0,1,HOOVER,Alabama
45,1,10045,1,97,2100,31,1,2015,7,8,19,30.62482222,-88.12466111,1,1,0,1,MOBILE,Alabama
46,1,10046,1,17,1830,8,2,2015,1,2,15,32.84681944,-85.18687778,6,1,0,1,LANETT,Alabama
47,1,10047,2,97,2100,22,1,2015,5,0,7,30.66823611,-88.05437222,2,1,1,1,MOBILE,Alabama
49,1,10049,2,73,350,29,1,2015,5,1,15,33.529925,-86.88088611,6,1,0,1,BIRMINGHAM,Alabama
51,1,10051,5,109,3040,1,2,2015,1,14,38,31.82342222,-85.96047222,1,2,0,1,TROY,Alabama
57,1,10057,3,49,2564,4,2,2015,4,17,52,34.45239167,-85.78168333,2,1,0,1,RAINSVILLE,Alabama
58,1,10058,3,13,1460,8,2,2015,1,14,40,31.82686111,-86.6481,1,1,0,1,GREENVILLE,Alabama
60,1,10060,7,49,2564,10,2,2015,3,17,39,34.52244722,-85.82724444,2,10,0,1,RAINSVILLE,Alabama
63,1,10063,3,45,845,1,2,2015,1,3,55,31.28759444,-85.70040556,2,1,1,1,DALEVILLE,Alabama
64,1,10064,1,97,2100,4,2,2015,4,0,19,30.70100278,-88.12357222,2,1,0,1,MOBILE,Alabama
65,1,10065,2,3,2650,31,1,2015,7,10,47,30.45154444,-87.680225,1,1,0,1,ROBERTSDALE,Alabama
66,1,10066,2,101,2130,8,2,2015,1,1,41,32.32658333,-86.29738611,3,10,1,1,MONTGOMERY,Alabama
67,1,10067,8,81,200,11,2,2015,4,11,41,32.61580556,-85.50796111,1,1,0,1,AUBURN,Alabama
69,1,10069,2,97,2100,15,2,2015,1,21,8,30.68153889,-88.06909444,3,1,1,1,MOBILE,Alabama
71,1,10071,4,95,50,20,2,2015,6,22,30,34.2806,-86.19588056,6,3,0,1,ALBERTVILLE,Alabama
72,1,10072,1,73,350,22,2,2015,1,19,0,33.44571389,-86.73578611,3,1,0,1,BIRMINGHAM,Alabama
73,1,10073,1,73,350,20,2,2015,6,23,0,33.53994444,-86.87020833,2,1,0,1,BIRMINGHAM,Alabama
74,1,10074,4,73,1710,16,2,2015,2,5,17,33.45167778,-86.8184,3,1,0,1,HOMEWOOD,Alabama
77,1,10077,1,81,2340,23,2,2015,2,18,43,32.679275,-85.37018056,2,10,0,1,OPELIKA,Alabama
78,1,10078,1,125,3050,24,2,2015,3,15,52,33.2262,-87.53260833,1,10,0,1,TUSCALOOSA,Alabama
82,1,10082,1,3,1210,24,2,2015,3,21,14,30.43372222,-87.6492,2,1,0,1,FOLEY,Alabama
84,1,10084,3,125,2260,1,3,2015,1,10,25,33.234175,-87.63861667,1,1,1,1,NORTHPORT,Alabama
86,1,10086,4,89,1730,1,3,2015,1,17,58,34.77878611,-86.65703889,3,2,1,1,HUNTSVILLE,Alabama
89,1,10089,1,97,2550,3,3,2015,3,18,56,30.74889167,-88.13165833,2,1,1,1,PRICHARD,Alabama
90,1,10090,2,73,350,5,3,2015,5,18,25,33.49488056,-86.86086944,3,10,0,1,BIRMINGHAM,Alabama
91,1,10091,4,97,2550,3,3,2015,3,10,52,30.73507222,-88.08218056,1,1,0,1,PRICHARD,Alabama
92,1,10092,3,81,2340,8,3,2015,1,19,10,32.61657222,-85.37138889,2,1,0,1,OPELIKA,Alabama
95,1,10095,15,101,2130,2,3,2015,2,8,7,32.28422222,-86.34324444,1,5,0,3,MONTGOMERY,Alabama
97,1,10097,2,115,160,18,2,2015,4,7,48,33.8332,-86.261,1,10,0,2,ASHVILLE,Alabama
98,1,10098,1,69,930,28,2,2015,7,19,57,31.25823611,-85.43218611,3,10,0,1,DOTHAN,Alabama
101,1,10102,1,101,2130,14,3,2015,7,3,38,32.35867222,-86.24773611,3,2,1,1,MONTGOMERY,Alabama
103,1,10104,3,3,2650,5,3,2015,5,15,3,30.56744167,-87.66604722,1,10,0,2,ROBERTSDALE,Alabama
104,1,10105,2,77,1200,6,3,2015,6,99,99,34.78616389,-87.69790833,2,1,1,1,FLORENCE,Alabama
107,1,10108,3,15,2325,13,3,2015,6,19,21,33.76190556,-86.04343056,2,2,0,1,OHATCHEE,Alabama
113,1,10114,2,3,860,1,4,2015,4,22,49,30.66108056,-87.87046944,2,1,1,1,DAPHNE,Alabama
117,1,10118,2,103,890,8,3,2015,1,4,34,34.56162222,-86.97040556,3,1,1,1,DECATUR,Alabama
119,1,10120,2,115,160,3,3,2015,3,13,27,33.84600556,-86.27015,1,10,0,1,ASHVILLE,Alabama
120,1,10121,3,51,3270,8,3,2015,1,14,15,32.54603889,-86.18844444,1,1,0,1,WETUMPKA,Alabama
123,1,10124,1,89,1970,16,3,2015,2,10,4,34.67851667,-86.74731667,1,1,0,1,MADISON,Alabama
127,1,10128,1,63,1213,20,3,2015,6,21,45,32.65625,-87.87543889,2,1,0,1,FORKLAND,Alabama
128,1,10129,3,49,2564,24,3,2015,3,7,15,34.49746111,-85.85248056,1,1,0,1,RAINSVILLE,Alabama
129,1,10130,3,97,2100,24,3,2015,3,8,20,30.69029167,-88.02360278,1,10,0,1,MOBILE,Alabama
131,1,10132,3,89,1970,26,3,2015,5,4,36,34.72875556,-86.75015278,3,1,0,1,MADISON,Alabama
136,1,10137,2,73,350,30,3,2015,2,19,15,33.47045,-86.87328889,5,1,0,1,BIRMINGHAM,Alabama
137,1,10138,4,55,2822,3,4,2015,6,19,50,33.90453611,-86.02566667,2,1,0,1,SOUTHSIDE,Alabama
138,1,10139,4,43,830,3,4,2015,6,11,29,34.21063056,-86.88754444,1,10,0,1,CULLMAN,Alabama
142,1,10143,2,101,2130,23,3,2015,2,0,38,32.32344444,-86.23832778,3,1,2,1,MONTGOMERY,Alabama
143,1,10144,4,101,2130,24,3,2015,3,19,48,32.36861667,-86.35498056,3,1,1,1,MONTGOMERY,Alabama
144,1,10145,3,55,1280,24,3,2015,3,20,0,33.996975,-86.09063611,3,1,0,1,GADSDEN,Alabama
145,1,10146,4,49,2564,28,3,2015,7,20,4,34.47056667,-85.78625,2,1,1,1,RAINSVILLE,Alabama
152,1,10153,6,51,3270,6,4,2015,2,17,25,32.47788056,-86.19813611,1,2,0,1,WETUMPKA,Alabama
154,1,10155,3,73,350,30,3,2015,2,20,50,33.61813611,-86.685,2,1,0,1,BIRMINGHAM,Alabama
155,1,10156,1,97,2716,17,4,2015,6,13,42,30.87624722,-88.04591944,1,1,0,1,SATSUMA,Alabama
156,1,10157,2,101,2130,27,3,2015,6,5,20,32.36128333,-86.32179722,3,1,0,1,MONTGOMERY,Alabama
158,1,10159,1,127,2400,12,2,2015,5,11,42,33.76413611,-87.27437778,1,1,0,1,PARRISH,Alabama
159,1,10160,1,73,330,14,3,2015,7,22,9,33.408075,-86.93732778,3,1,0,1,BESSEMER,Alabama
160,1,10161,3,109,3040,30,3,2015,2,15,27,31.83838056,-85.99281389,1,1,0,1,TROY,Alabama
161,1,10162,1,113,2440,2,4,2015,5,6,5,32.49611111,-85.01460278,2,1,0,1,PHENIX CITY,Alabama
162,1,10163,2,101,2130,4,4,2015,7,5,50,32.32692222,-86.28206944,3,10,0,1,MONTGOMERY,Alabama
165,1,10166,1,81,200,10,4,2015,6,3,15,32.61595,-85.49899167,3,10,1,1,AUBURN,Alabama
166,1,10167,1,125,718,11,4,2015,7,23,45,33.17655278,-87.30551667,2,10,1,1,COALING,Alabama
167,1,10168,2,51,2940,12,4,2015,1,0,51,32.56443611,-85.93123889,2,1,1,1,TALLASSEE,Alabama
175,1,10176,1,19,1852,16,4,2015,5,7,20,34.18084444,-85.76155278,1,10,0,1,LEESBURG,Alabama
176,1,10177,4,5,720,16,4,2015,5,20,5,31.70562778,-85.59275278,3,2,0,1,CLIO,Alabama
177,1,10178,1,73,330,18,4,2015,7,21,49,33.38305,-86.94081111,2,2,0,1,BESSEMER,Alabama
178,1,10179,2,95,50,18,4,2015,7,10,22,34.27261667,-86.19847778,1,10,0,1,ALBERTVILLE,Alabama
182,1,10183,1,47,2760,17,4,2015,6,20,15,32.43308333,-87.04990278,3,10,0,1,SELMA,Alabama
184,1,10185,1,73,330,22,4,2015,4,14,38,33.39529167,-86.95479167,1,1,0,1,BESSEMER,Alabama
187,1,10188,4,73,3080,25,4,2015,7,12,50,33.60119722,-86.57146667,1,1,1,1,TRUSSVILLE,Alabama
191,1,10192,1,101,2130,28,4,2015,3,8,11,32.36698056,-86.14332222,1,1,0,1,MONTGOMERY,Alabama
193,1,10194,2,3,1011,17,4,2015,6,18,39,30.36303056,-87.59561389,1,1,1,1,ELBERTA,Alabama
194,1,10195,3,73,350,22,4,2015,4,9,36,33.528825,-86.74684444,1,1,1,2,BIRMINGHAM,Alabama
196,1,10197,2,125,3050,25,4,2015,7,20,38,33.17261667,-87.477725,3,10,1,1,TUSCALOOSA,Alabama
200,1,10201,1,95,400,30,4,2015,5,23,0,34.21392778,-86.13927222,2,1,0,1,BOAZ,Alabama
204,1,10205,2,73,1716,5,5,2015,3,0,17,33.407825,-86.76304444,2,1,1,1,HOOVER,Alabama
205,1,10206,2,101,2130,2,4,2015,5,19,32,32.32687222,-86.273175,3,1,0,1,MONTGOMERY,Alabama
206,1,10207,2,17,3111,16,4,2015,5,20,6,32.81164167,-85.17035,3,2,0,1,VALLEY,Alabama
207,1,10208,1,125,3050,20,4,2015,2,23,0,33.19108333,-87.46343333,2,10,0,1,TUSCALOOSA,Alabama
208,1,10209,2,77,1200,23,4,2015,5,13,9,34.83666111,-87.65181667,1,1,0,1,FLORENCE,Alabama
209,1,10210,1,17,3111,25,4,2015,7,19,0,32.81228611,-85.17083056,1,10,0,1,VALLEY,Alabama
213,1,10214,3,55,1370,30,4,2015,5,20,35,33.91519167,-85.91348056,2,1,1,1,GLENCOE,Alabama
214,1,10215,1,73,350,2,5,2015,7,22,30,33.51839722,-86.850275,3,1,0,1,BIRMINGHAM,Alabama
215,1,10216,5,97,2550,3,5,2015,1,17,43,30.771375,-88.17473889,1,1,0,1,PRICHARD,Alabama
216,1,10217,1,125,3050,4,5,2015,2,0,50,33.23294722,-87.41972778,2,1,1,1,TUSCALOOSA,Alabama
217,1,10218,3,87,3070,4,5,2015,2,11,0,32.45510833,-85.68898889,1,1,0,1,TUSKEGEE,Alabama
222,1,10223,7,3,1210,1,5,2015,6,21,7,30.40665,-87.70856944,3,1,1,1,FOLEY,Alabama
223,1,10224,1,33,2190,4,5,2015,2,21,6,34.72234167,-87.63496667,2,1,0,1,MUSCLE SHOALS,Alabama
224,1,10225,2,101,2130,2,4,2015,5,22,23,32.33015,-86.23213056,3,1,1,1,MONTGOMERY,Alabama
226,1,10227,1,125,3050,8,5,2015,6,11,15,33.18373889,-87.44763333,1,1,0,1,TUSCALOOSA,Alabama
228,1,10229,3,15,100,4,5,2015,2,6,59,33.61511389,-85.76906944,1,1,0,1,ANNISTON,Alabama
229,1,10230,2,21,700,24,5,2015,1,9,25,32.88801944,-86.62379722,1,1,0,1,CLANTON,Alabama
230,1,10231,2,17,3111,23,5,2015,7,20,0,32.80710833,-85.22606389,1,1,0,1,VALLEY,Alabama
231,1,10232,4,101,2130,11,5,2015,2,20,49,32.36118056,-86.18275556,3,1,0,1,MONTGOMERY,Alabama
234,1,10235,1,101,2130,8,5,2015,6,19,33,32.36733056,-86.32124722,1,1,0,1,MONTGOMERY,Alabama
241,1,10242,1,113,2440,10,5,2015,1,0,10,32.44434444,-85.03772222,2,1,1,1,PHENIX CITY,Alabama
245,1,10246,1,131,2490,14,5,2015,5,21,58,31.97318333,-87.58413889,2,10,0,1,PINE HILL,Alabama
246,1,10247,1,97,2550,15,5,2015,6,21,31,30.74800833,-88.11728333,2,2,0,1,PRICHARD,Alabama
250,1,10251,7,19,1852,18,5,2015,2,15,18,34.17649167,-85.78791667,1,1,0,1,LEESBURG,Alabama
