FligtNum,ArrivalTime,DepartureTime
-0.8292374880696104,-1.160879126135354,-1.3728070710428988
-0.8026887711732016,-0.8881492339205188,-1.0977381570590417
-0.34879135326685756,-0.8808764367947899,-1.1218317845612773
0.2061624708903329,-1.3717902427814932,-1.5314234520992835
-0.7812785156115816,-0.811784864100365,-0.9150281485004211
-0.5783092928874239,-2.657257134754083,0.6309796162263673
-0.5491913453236208,-2.7172577110413467,-2.7883076867992442
-0.16894520654924952,-0.43723581212532464,-0.2946172403178528
-0.6845041604730592,-1.1790611189496765,-1.3667836641673399
-1.1623810646084176,-1.0063321872136142,-1.3808382802103107
0.5812701483299153,-1.579064960864768,-1.5434702658504014
-0.8831913320848928,-2.437255021700783,1.4642175673453508
-0.8103964631753848,0.10822397230434576,-0.8688486957878028
-0.39332468483502714,-0.4990545876940206,-0.5435847245076213
-1.1118528614829943,-0.4463268085324858,-0.5074442832542678
-0.34964776348932236,0.23367972272316995,-0.5556315382587391
-0.5680323702178464,-0.6936019108072697,-0.7564117674440364
-0.45241699018509834,-0.07177775655744548,-0.16009448676370366
-0.4036016075046048,-1.4008814312844091,-1.5535092773096664
0.4262598980637865,-1.4099724276915702,-1.5816185093956079
-0.8129656938427792,-0.44814500781391803,-0.5395691199239154
-0.976540046333556,-2.448164217389376,0.8899861118754008
-0.8506477436312304,-0.16450591991048943,-0.2745392173993231
-0.6870733911404535,-0.6408741316457349,-0.712240117023271
-0.582591343999748,-1.3645174456557643,-1.5595326841852253
-0.7615810804948911,-0.5117819826640463,-0.6740918734780645
-0.02421187895269832,-0.6863291136815408,-0.7343259422336537
0.057147092181457686,-2.4972555979880466,0.873923693540577
0.3380496451499121,-0.4717815984725371,-0.5255145038809446
-0.8934682547544703,-0.16632411919192167,-0.561654945134298
-0.8600682560783431,-0.7026929072144309,-1.3446978389569573
-0.4661195537445352,-0.45178140637678255,-0.712240117023271
-0.9782528667784856,-0.4808725948796983,-0.7042089078558591
-0.6254118551229879,-1.408154228410138,-1.5515014750178133
0.4262598980637865,-0.4935999898497239,-0.8788877072470677
-0.16894520654924952,-1.262698285895559,-1.505322022305195
-1.0339195312386975,-1.0190595821836397,-1.517368836056313
-0.39931955639228073,0.030041403202759668,-0.3668981228245598
-1.1032887592583465,-0.14268752853330263,-0.5536237359668862
-0.3719144292734071,-0.6972383093701342,-0.9571919966293336
-1.1538169623837695,-0.8845128353576543,-1.0856913433079238
-1.2283246517382072,-0.45178140637678255,-0.6781074780617705
0.1325111917583601,-0.4808725948796983,-0.6941698963965942
-0.3111093034784063,-0.6245103381128448,-0.7262947330662418
-0.9097400489813016,-0.8008756684117716,-0.9491607874619217
-0.8061144120630608,-1.1645155246982186,-1.282455967909515
-0.36506314749368873,-0.8154212626632295,-1.081675738724218
-0.4618375026322111,-0.6626925230229217,-1.3507212458325162
-0.35992468615889994,-0.6590561244600572,-0.7544039651521834
0.042588118399556084,-1.013604984339343,-1.354736850416222
0.2755316989099817,-0.889967433201951,-0.9652232057967455
-1.1615246543859528,-0.6826927151186764,-0.9591997989211866
-0.7444528760455952,-0.5336003740412331,-0.4753194465846203
-0.5808785235548184,0.010041211107005087,-0.925067159959686
-1.1812220895026433,-0.8881492339205188,-0.8648330912040969
